# t (s)	mx ()	my ()	mz ()	m_x ()	m_y ()	m_z ()	m_x.region1 ()	m_y.region1 ()	m_z.region1 ()	m_x.region2 ()	m_y.region2 ()	m_z.region2 ()
6.000930639712413e-09	0.93255126	0.0001485597	0.00011338948	0.93255126	0.0001485597	0.00011338948	0.99980056	0.0003308636	0.0002723658	0.88178253	1.0932018e-05	-6.627519e-06
6.201414097466982e-09	0.9325536	-0.00014141519	-0.0001864151	0.9325536	-0.00014141516	-0.0001864151	0.99980044	-0.00031263364	-0.0004318915	0.88178664	-1.215554e-05	-1.0961301e-06
6.4009167984099625e-09	0.9325508	7.091079e-05	0.00025889304	0.93255085	7.091083e-05	0.00025889304	0.99979776	0.00015702684	0.0005942215	0.8817836	5.898506e-06	5.741403e-06
6.600543439359874e-09	0.9325519	5.339365e-05	-0.0002945611	0.9325519	5.339365e-05	-0.0002945611	0.9997981	0.00011874278	-0.00067750196	0.8817854	4.059831e-06	-5.4652146e-06
6.800815580969522e-09	0.93255323	-0.00020216074	0.00026971314	0.93255323	-0.00020216074	0.0002697131	0.99979794	-0.00045621293	0.00062576105	0.88178796	-1.0368093e-05	9.19682e-07
7.000644899856815e-09	0.9325476	0.0003220488	-0.00017939237	0.9325477	0.0003220488	-0.00017939234	0.99979377	0.00073559687	-0.00042264204	0.88178134	9.846258e-06	4.245595e-06
7.2008006155031576e-09	0.9325521	-0.0003722652	4.295101e-05	0.9325521	-0.0003722653	4.2951015e-05	0.9997981	-0.0008593651	0.00010939616	0.8817857	-4.5361144e-06	-7.210834e-06
7.4017494629834015e-09	0.9325526	0.00031957458	9.1505986e-05	0.9325526	0.0003195746	9.150598e-05	0.9997968	0.00074843795	0.00020157798	0.8817875	-4.189009e-06	8.40866e-06
7.60079570800004e-09	0.9325511	-0.00020285022	-0.00016038287	0.9325511	-0.00020285035	-0.00016038287	0.99980056	-0.00048654983	-0.00036222272	0.8817821	1.1325298e-05	-8.006687e-06
7.80010768024074e-09	0.93255407	8.230936e-05	0.00015669833	0.93255407	8.230932e-05	0.00015669833	0.99980235	0.00021261052	0.0003579161	0.8817861	-1.605961e-05	4.791757e-06
8.001043948400067e-09	0.93255466	-1.8976052e-05	-0.00010808192	0.93255466	-1.8976052e-05	-0.00010808192	0.9998024	-6.732255e-05	-0.0002540601	0.8817869	1.7522174e-05	2.1223327e-06
8.20113952756064e-09	0.93255144	3.798094e-05	6.362449e-05	0.93255144	3.798098e-05	6.362448e-05	0.999803	0.00010353239	0.00016321731	0.8817809	-1.1506119e-05	-1.1561725e-05
8.401630368540327e-09	0.932557	-0.00010231079	-6.663073e-05	0.932557	-0.0001023108	-6.663073e-05	0.9998045	-0.00023674584	-0.00017906132	0.88178945	-8.214503e-07	1.8247172e-05
8.600334202233634e-09	0.9325517	0.0001521578	0.000120624834	0.9325517	0.0001521578	0.000120624834	0.9998009	0.00033570334	0.00030052502	0.88178253	1.3593459e-05	-1.5188327e-05
8.801267049701835e-09	0.9325526	-0.0001314383	-0.00020422973	0.9325526	-0.00013143834	-0.00020422973	0.9998019	-0.0002812753	-0.0004802081	0.8817836	-1.8321194e-05	4.11633e-06
9.000588248371894e-09	0.9325554	3.919587e-05	0.00026669522	0.9325554	3.919587e-05	0.00026669522	0.99980026	7.5789045e-05	0.00060993945	0.8817899	1.157057e-05	7.5677603e-06
9.200631313764983e-09	0.93254876	0.000103861115	-0.00028005458	0.9325487	0.000103861115	-0.00028005455	0.99979734	0.00023884172	-0.0006330382	0.8817802	1.9594768e-06	-1.357445e-05
